region,value
Chile,4
Chile,6
Chile,0.001994167
Chile,0.00048706
Chile,11
Chile,5
Chile,5
Chile,16
Chile,0.000670416
Chile,0.001779953
Chile,5
Chile,8
Chile,5
Chile,13
Chile,0.006756218
Chile,0.001315256
Chile,19
Chile,3
Chile,14
Chile,14
Chile,23
Chile,37
Chile,13
Chile,32
Chile,0.002645958
Chile,0.017047262
Chile,5
Chile,22
Chile,5
Chile,22
Chile,0.013491983
Chile,0.003600601
Chile,54
Chile,22
Chile,46
Chile,9
Chile,15
Chile,61
Chile,118
Chile,172
Chile,0.007987213
Chile,0.049333755
Chile,6
Chile,35
Chile,8
Chile,61
Chile,0.055844966
Chile,0.013336003
Chile,281
Chile,109
Chile,129
Chile,68
Chile,137
Chile,214
Chile,161
Chile,428
Chile,0.020119924
Chile,0.106802382
Chile,42
Chile,128
Chile,84
Chile,268
Chile,0.102016836
Chile,0.025819099
Chile,540
Chile,112
Chile,293
Chile,79
Chile,300
Chile,593
Chile,266
Chile,806
Chile,0.043362446
Chile,0.191442579
Chile,116
Chile,364
China,0.000537014
China,1.57E-07
China,1.77379E-05
China,4.8159E-05
China,32.10080338
China,0.009369444
China,1.060309052
China,2.878776312
China,0.387785405
China,0.048098449
China,0.011471231
China,0.000231028
China,0.004730493
China,0.003021251
China,0.010132794
China,1938.869995
China,1938.869995
China,4.926166058
China,120.6910706
China,400
China,1090
China,1569.331543
China,340
China,340
China,660
China,320
China,6319.331543
China,4750
China,700
China,333.0259094
China,13.5928936
China,326.3599854
China,4060.209961
China,2121.340088
China,326.3599854
China,0.034058921
China,0.009002318
China,0.007629017
China,0.000737005
China,0.033856347
China,0.106401294
China,0.792470098
China,0.000792569
China,2.72E-07
China,3.16561E-05
China,7.74872E-05
China,47.37700653
China,0.016274953
China,1.892292142
China,4.631911755
China,0.000976982
China,7.72E-07
China,5.24255E-05
China,0.000210414
China,58.40057755
China,0.046157312
China,3.133811474
China,12.57780743
China,0.959369898
China,0.1709456
China,0.055946335
China,0.003295966
China,0.000308546
China,0.012189947
China,0.01819123
China,0.061947379
China,1024
China,1792
China,5852.209961
China,1350.359985
China,51
China,51
China,522.4575806
China,1200
China,9640
China,15959.33203
China,260
China,920
China,1650
China,730
China,30569.33203
China,14610
China,1800
China,550.659729
China,363
China,312
China,4878.759766
China,7616.410156
China,1764.199951
China,3528.399902
China,0.08279869
China,0.029155064
China,0.01716019
China,0.002053804
China,0.017327884
China,0.056889214
China,0.287825108
China,1.655638695
China,0.001043033
China,3.47278E-06
China,7.4809E-05
China,0.000438229
China,62.34885788
China,0.207590416
China,4.471822262
China,26.19581223
China,0.002206829
China,4.0384E-06
China,9.31064E-05
China,0.001154653
China,131.9165192
China,0.24140133
China,5.565572739
China,69.02113342
China,9000
China,21000
China,6.08415699
China,0.847219408
China,0.078595869
China,0.00780854
China,0.00262622
